date,price
2023-01-01,255.0
2023-01-02,296.25
2023-01-03,293.73
2023-01-04,296.11
2023-01-05,299.34
2023-01-06,302.58
2023-01-07,274.63
2023-01-08,275.41
2023-01-09,280.06
2023-01-10,307.66
2023-01-11,301.74
2023-01-12,355.0
2023-01-13,298.92
2023-01-14,273.2
2023-01-15,276.46
2023-01-16,286.72
2023-01-17,310.54
2023-01-18,299.6
2023-01-19,298.69
2023-01-20,297.78
2023-01-21,271.95
2023-01-22,278.07
2023-01-23,283.85
2023-01-24,311.19
2023-01-25,299.48
2023-01-26,300.44
2023-01-27,301.4
2023-01-28,273.73
2023-01-29,277.42
2023-01-30,285.06
2023-01-31,313.89
2023-02-01,301.27
2023-02-02,359.17
2023-02-03,214.79
2023-02-04,273.62
2023-02-05,277.51
2023-02-06,285.9
2023-02-07,312.97
2023-02-08,300.16
2023-02-09,300.16
2023-02-10,300.16
2023-02-11,272.16
2023-02-12,283.07
2023-02-13,286.35
2023-02-14,314.91
2023-02-15,302.11
2023-02-16,302.71
2023-02-17,303.32
2023-02-18,271.89
2023-02-19,283.34
2023-02-20,305.45
2023-02-21,317.72
2023-02-22,302.18
2023-02-23,302.51
2023-02-24,302.83
2023-02-25,288.1
2023-02-26,285.38
2023-02-27,287.76
2023-02-28,318.24
2023-03-01,303.74
2023-03-02,301.73
2023-03-03,299.73
2023-03-04,273.58
2023-03-05,287.7
2023-03-06,288.68
2023-03-07,316.16
2023-03-08,302.58
2023-03-09,301.69
2023-03-10,300.79
2023-03-11,270.01
2023-03-12,287.39
2023-03-13,289.37
2023-03-14,296.16
2023-03-15,302.96
2023-03-16,302.29
2023-03-17,301.63
2023-03-18,287.78
2023-03-19,289.1
2023-03-20,292.97
2023-03-21,321.59
2023-03-22,306.16
2023-03-23,307.86
2023-03-24,309.56
2023-03-25,287.05
2023-03-26,287.86
2023-03-27,293.92
2023-03-28,323.55
2023-03-29,293.17
2023-03-30,301.19
2023-03-31,309.21
2023-04-01,272.89
2023-04-02,287.61
2023-04-03,294.72
2023-04-04,323.33
2023-04-05,307.33
2023-04-06,380.0
2023-04-07,288.23
2023-04-08,237.22
2023-04-09,251.84
2023-04-10,239.77
2023-04-11,336.55
2023-04-12,323.35
2023-04-13,380.0
2023-04-14,287.68
2023-04-15,239.44
2023-04-16,315.45
2023-04-17,330.72
2023-04-18,381.67
2023-04-19,381.67
2023-04-20,381.67
2023-04-21,349.2
2023-04-22,291.15
2023-04-23,315.23
2023-04-24,311.53
2023-04-25,350.23
2023-04-26,324.41
2023-04-27,383.33
2023-04-28,348.95
2023-04-29,290.18
2023-04-30,317.04
2023-05-01,309.91
2023-05-02,349.14
2023-05-03,324.78
2023-05-04,381.67
2023-05-05,350.0
2023-05-06,288.67
2023-05-07,311.89
2023-05-08,310.02
2023-05-09,336.38
2023-05-10,325.19
2023-05-11,380.0
2023-05-12,351.68
2023-05-13,323.65
2023-05-14,311.93
2023-05-15,305.92
2023-05-16,346.01
2023-05-17,324.0
2023-05-18,380.0
2023-05-19,349.97
2023-05-20,292.94
2023-05-21,313.75
2023-05-22,309.08
2023-05-23,349.8
2023-05-24,323.74
2023-05-25,377.5
2023-05-26,347.66
2023-05-27,292.74
2023-05-28,318.99
2023-05-29,305.52
2023-05-30,345.16
2023-05-31,321.95
2023-06-01,374.17
2023-06-02,327.59
2023-06-03,281.14
2023-06-04,294.46
2023-06-05,308.58
2023-06-06,325.47
2023-06-07,321.49
2023-06-08,323.3
2023-06-09,325.11
2023-06-10,281.9
2023-06-11,296.51
2023-06-12,293.04
2023-06-13,344.88
2023-06-14,323.11
2023-06-15,375.0
2023-06-16,328.98
2023-06-17,290.14
2023-06-18,304.77
2023-06-19,296.0
2023-06-20,331.07
2023-06-21,306.2
2023-06-22,320.15
2023-06-23,334.1
2023-06-24,289.77
2023-06-25,307.98
2023-06-26,303.79
2023-06-27,344.64
2023-06-28,322.43
2023-06-29,371.67
2023-06-30,331.13
2023-07-01,289.86
2023-07-02,308.04
2023-07-03,289.44
2023-07-04,327.91
2023-07-05,314.56
2023-07-06,321.32
2023-07-07,328.07
2023-07-08,312.21
2023-07-09,310.78
2023-07-10,300.5
2023-07-11,315.52
2023-07-12,320.61
2023-07-13,333.62
2023-07-14,329.12
2023-07-15,306.85
2023-07-16,306.37
2023-07-17,299.39
2023-07-18,313.28
2023-07-19,320.83
2023-07-20,335.67
2023-07-21,327.7
2023-07-22,307.84
2023-07-23,305.75
2023-07-24,299.33
2023-07-25,309.73
2023-07-26,318.75
2023-07-27,332.38
2023-07-28,327.29
2023-07-29,302.98
2023-07-30,301.54
2023-07-31,296.5
2023-08-01,317.9
2023-08-02,319.66
2023-08-03,327.12
2023-08-04,335.62
2023-08-05,301.67
2023-08-06,296.67
2023-08-07,298.95
2023-08-08,307.83
2023-08-09,313.17
2023-08-10,324.25
2023-08-11,320.0
2023-08-12,290.0
2023-08-13,301.67
2023-08-14,295.24
2023-08-15,307.0
2023-08-16,314.17
2023-08-17,357.5
2023-08-18,320.5
2023-08-19,300.0
2023-08-20,298.33
2023-08-21,291.65
2023-08-22,303.7
2023-08-23,310.65
2023-08-24,322.0
2023-08-25,317.0
2023-08-26,298.33
2023-08-27,296.67
2023-08-28,292.55
2023-08-29,302.42
2023-08-30,307.0
2023-08-31,322.64
2023-09-01,324.17
2023-09-02,312.5
2023-09-03,310.0
2023-09-04,287.98
2023-09-05,300.87
2023-09-06,316.23
2023-09-07,325.1
2023-09-08,314.17
2023-09-09,290.86
2023-09-10,301.25
2023-09-11,289.95
2023-09-12,300.68
2023-09-13,315.87
2023-09-14,327.36
2023-09-15,317.5
2023-09-16,291.0
2023-09-17,288.4
2023-09-18,295.68
2023-09-19,303.87
2023-09-20,303.54
2023-09-21,328.88
2023-09-22,322.08
2023-09-23,295.5
2023-09-24,289.9
2023-09-25,290.83
2023-09-26,304.84
2023-09-27,314.13
2023-09-28,324.06
2023-09-29,319.17
2023-09-30,288.19
2023-10-01,289.49
2023-10-02,292.68
2023-10-03,303.92
2023-10-04,315.74
2023-10-05,325.21
2023-10-06,324.62
2023-10-07,295.73
2023-10-08,294.59
2023-10-09,299.89
2023-10-10,317.12
2023-10-11,312.36
2023-10-12,327.32
2023-10-13,328.41
2023-10-14,299.12
2023-10-15,299.49
2023-10-16,300.42
2023-10-17,312.19
2023-10-18,316.22
2023-10-19,327.52
2023-10-20,332.18
2023-10-21,303.15
2023-10-22,298.4
2023-10-23,301.99
2023-10-24,323.2
2023-10-25,331.29
2023-10-26,330.14
2023-10-27,346.5
2023-10-28,313.95
2023-10-29,313.95
2023-10-30,311.4
2023-10-31,322.96
2023-11-01,355.0
2023-11-02,355.0
2023-11-03,354.38
2023-11-04,316.38
2023-11-05,312.77
2023-11-06,310.12
2023-11-07,321.6
2023-11-08,330.14
2023-11-09,333.69
2023-11-10,326.08
2023-11-11,318.46
2023-11-12,314.82
2023-11-13,307.9
2023-11-14,322.66
2023-11-15,329.59
2023-11-16,329.67
2023-11-17,349.0
2023-11-18,316.65
2023-11-19,316.48
2023-11-20,312.09
2023-11-21,347.5
2023-11-22,331.5
2023-11-23,329.63
2023-11-24,351.0
2023-11-25,318.48
2023-11-26,317.2
2023-11-27,313.95
2023-11-28,322.52
2023-11-29,326.43
2023-11-30,329.47
2023-12-01,356.25
2023-12-02,346.67
2023-12-03,348.33
2023-12-04,341.67
2023-12-05,346.25
2023-12-06,356.25
2023-12-07,357.5
2023-12-08,351.0
2023-12-09,365.0
2023-12-10,350.0
2023-12-11,342.5
2023-12-12,348.12
2023-12-13,359.38
2023-12-14,358.12
2023-12-15,354.5
2023-12-16,341.67
2023-12-17,345.0
2023-12-18,341.67
2023-12-19,362.5
2023-12-20,363.12
2023-12-21,366.25
2023-12-22,358.0
2023-12-23,350.0
2023-12-24,355.0
2023-12-25,380.0
2023-12-26,362.5
2023-12-27,371.25
2023-12-28,361.25
2023-12-29,365.0
2023-12-30,361.67
2023-12-31,385.0
