item,display_name,model,mape,path
Banana _Lakatan_,Banana (Lakatan),seasonal_trend,35.64209304275378,data\forecast\Banana _Lakatan_\forecast.csv
Banana _Latundan_,Banana (Latundan),seasonal_trend,9.285788812385956,data\forecast\Banana _Latundan_\forecast.csv
Banana _Saba_,Banana (Saba),seasonal_trend,1.5313332813226035,data\forecast\Banana _Saba_\forecast.csv
Bell Pepper _Green_,Bell Pepper (Green),seasonal_trend,12.04990061080848,data\forecast\Bell Pepper _Green_\forecast.csv
Bell Pepper _Red_,Bell Pepper (Red),seasonal_trend,13.453573324272977,data\forecast\Bell Pepper _Red_\forecast.csv
Bittergourd _Ampalaya_,Bittergourd (Ampalaya),seasonal_trend,18.899414335589654,data\forecast\Bittergourd _Ampalaya_\forecast.csv
Calamansi,Calamansi,seasonal_trend,14.204816362139935,data\forecast\Calamansi\forecast.csv
Chicken Egg_Brown_ M_,"Chicken Egg(Brown, M) ",seasonal_trend,8.345623132603079,data\forecast\Chicken Egg_Brown_ M_\forecast.csv
Chicken Egg_Brown_ XL_,"Chicken Egg(Brown, XL)",seasonal_trend,16.678366817674338,data\forecast\Chicken Egg_Brown_ XL_\forecast.csv
Chicken Egg_Brown_L_,"Chicken Egg(Brown,L)",seasonal_trend,7.113580421954019,data\forecast\Chicken Egg_Brown_L_\forecast.csv
Chicken Egg_White_ XL_,"Chicken Egg(White, XL)",seasonal_trend,0.4232509447939221,data\forecast\Chicken Egg_White_ XL_\forecast.csv
Chicken Egg_White_J_,"Chicken Egg(White,J)",seasonal_trend,1.6736678175366337,data\forecast\Chicken Egg_White_J_\forecast.csv
Chicken Egg_White_L_,"Chicken Egg(White,L)",seasonal_trend,1.5514523884855675,data\forecast\Chicken Egg_White_L_\forecast.csv
Chicken Egg_White_M_,"Chicken Egg(White,M)",seasonal_trend,10.049926717282629,data\forecast\Chicken Egg_White_M_\forecast.csv
Chicken Egg_White_P_,"Chicken Egg(White,P)",seasonal_trend,1.5744149726300025,data\forecast\Chicken Egg_White_P_\forecast.csv
Chicken Egg_White_S_,"Chicken Egg(White,S)",seasonal_trend,1.493633918272197,data\forecast\Chicken Egg_White_S_\forecast.csv
Chicken Egg_White_XS_,"Chicken Egg(White,XS)",seasonal_trend,2.7187499928770373,data\forecast\Chicken Egg_White_XS_\forecast.csv
Chilli _Labuyo_,Chilli (Labuyo),seasonal_trend,41.95805397777493,data\forecast\Chilli _Labuyo_\forecast.csv
Eggplant _Talong_,Eggplant (Talong),seasonal_trend,20.776502323640635,data\forecast\Eggplant _Talong_\forecast.csv
Frozen Kasim,Frozen Kasim,seasonal_trend,0.15348814375600198,data\forecast\Frozen Kasim\forecast.csv
Frozen Liempo,Frozen Liempo,seasonal_trend,0.23060877016407677,data\forecast\Frozen Liempo\forecast.csv
Ginger,Ginger,seasonal_trend,16.008947633144135,data\forecast\Ginger\forecast.csv
Imported Garlic,Imported Garlic,seasonal_trend,13.134538080022388,data\forecast\Imported Garlic\forecast.csv
Imported Premium,Imported Premium,seasonal_trend,4.582315067166562,data\forecast\Imported Premium\forecast.csv
Imported Regular milled,Imported Regular milled,seasonal_trend,7.745802746700642,data\forecast\Imported Regular milled\forecast.csv
Imported Special,Imported Special,seasonal_trend,3.978547293408926,data\forecast\Imported Special\forecast.csv
Imported Well milled,Imported Well milled,seasonal_trend,1.4698426607934951,data\forecast\Imported Well milled\forecast.csv
Lettuce _Green Ice_,Lettuce (Green Ice),seasonal_trend,11.257235998853155,data\forecast\Lettuce _Green Ice_\forecast.csv
Lettuce _Iceberg_,Lettuce (Iceberg),seasonal_trend,13.250525379439084,data\forecast\Lettuce _Iceberg_\forecast.csv
Lettuce _Romaine_,Lettuce (Romaine),seasonal_trend,16.428021540878202,data\forecast\Lettuce _Romaine_\forecast.csv
Local Garlic,Local Garlic ,seasonal_trend,11.977094878998335,data\forecast\Local Garlic\forecast.csv
Local Premium,Local Premium,seasonal_trend,2.9198796832793747,data\forecast\Local Premium\forecast.csv
Local Red Onion,Local Red Onion,seasonal_trend,16.05379774375634,data\forecast\Local Red Onion\forecast.csv
Local Regular milled,Local Regular milled,seasonal_trend,5.931712990855067,data\forecast\Local Regular milled\forecast.csv
Local Special,Local Special,seasonal_trend,2.8331094976078806,data\forecast\Local Special\forecast.csv
Local Well milled,Local Well milled,seasonal_trend,0.4460058003523206,data\forecast\Local Well milled\forecast.csv
Papaya,Papaya,seasonal_trend,11.265471508653384,data\forecast\Papaya\forecast.csv
Pechay _Native_,Pechay (Native),seasonal_trend,21.44142976979939,data\forecast\Pechay _Native_\forecast.csv
Pork Ham Belly_Liempo_,Pork Ham Belly(Liempo),seasonal_trend,6.986054988314347,data\forecast\Pork Ham Belly_Liempo_\forecast.csv
Pork Ham_Kasim_,Pork Ham(Kasim),seasonal_trend,7.78950333371069,data\forecast\Pork Ham_Kasim_\forecast.csv
Squash,Squash,seasonal_trend,37.69521539604734,data\forecast\Squash\forecast.csv
String Beans _Sitao_,String Beans (Sitao),seasonal_trend,17.83344792110555,data\forecast\String Beans _Sitao_\forecast.csv
Tomato,Tomato,seasonal_trend,19.341468530762384,data\forecast\Tomato\forecast.csv
Whole Chicken,Whole Chicken,seasonal_trend,14.042059278259874,data\forecast\Whole Chicken\forecast.csv
